index,seq_length,true_label,favor_pred,sdpa_pred,error_type,favor_conf_0,favor_conf_1,sdpa_conf_0,sdpa_conf_1,text_snippet
3,1805,1,0,1,False Negative,0.7748387,0.22516133,0.10790441,0.8920956,"13 shares & # 160 ; during the middle of the night on january 15 2017, the bahrain regime executed three political activists by firing squad for the apparent killing of three police officers back in 2014, one of the activists was just 21 years old. the news of their execution led to further massive "
6,2271,0,1,0,False Positive,0.3218367,0.67816323,0.9341599,0.06584014,more on : on september 21st the fed announced that it would be selling $ 400 billion in short - term treasurys and buying $ 400 billion in longer - term treasurys to replace them – a maneuver titled “ operation twist. ” atlanta fed president dennis lockhart explained what it would mean for the econo
7,1873,0,1,0,False Positive,0.09389906,0.9061009,0.51619536,0.48380464,"perusing the coverage of president donald j. trump ’ s first ten months in office, a reader could easily conclude that the global trading system, which has been in existence essentially since 1945, is on the verge of collapse. trump himself frequently talks about trade in a way that sounds more like"
12,3044,0,1,0,False Positive,0.25856614,0.74143386,0.7649227,0.23507734,"for more on : the debate over skyscrapers and their place in the american city has endured for over a century, and new york city has often led the conversation. in 1913, the equitable life assurance society unveiled its controversial proposal to build a hulking new corporate headquarters in lower ma"
17,4045,0,1,0,False Positive,0.22748435,0.7725157,0.55743057,0.44256938,"“ [ gcmaf ] is also believed, ” the web site also reported, “ to be capable of treating and reversing autism, hiv, liver / kidney disease and diabetes. ” rumor has it that gcmaf has the potential to be a cure for even more diseases, such as gcmaf ’ s promise as a cure for cancer ( and more ) has cau"
24,1502,1,0,1,False Negative,0.63693696,0.36306307,0.39848566,0.60151434,a reporter and videographer shot and killed on the air in virginia ; donald trump squares off against the most famous latino journalist in america ; and what is the department of homeland security doing raiding a gay escort site? vox sentences is written by top news local news reporter alison parker
27,4096,0,1,0,False Positive,0.05508324,0.9449167,0.9096866,0.09031335,"much has been said over the past few years about the novelty of the security challenges now facing the united states. in what is still the most popular version of events, history started on 9 / 11, when “ everything changed. ” the global jihadist movement is an unexpected offshoot of the encounter b"
36,1842,1,0,1,False Negative,0.9834741,0.01652596,0.00026496922,0.99973506,"in michigan, rep. gary peters is happy to be seen eating deli sandwiches with president obama while talking to constituents about increasing the federal minimum wage. in north carolina, sen. kay hagan is building upon campaign infrastructure put in place by the obama team in two successive president"
40,2088,0,1,0,False Positive,0.06881957,0.9311805,0.687182,0.312818,"with the announcement last week that vice president of communication natalie kerris is leaving twitter after only six months on the job, the company ’ s public relations troubles are in the news again. but does twitter have a pr problem, or a problem with how the site itself is working? while the re"
47,2365,0,1,0,False Positive,0.3844983,0.61550176,0.9691739,0.030826068,"more on : this is a guest post by mrs. joan sikand, esq. she has served as development coordinator of the wildlife foundation since its inception in 2000. she has been a member of friends of nairobi national park since 1995, and served as its vice - chairwoman from 2004 to & # 160 ; 2007. her articl"
48,3360,0,1,0,False Positive,0.11263225,0.88736767,0.64559585,0.35440412,"this post is co - authored by sungtae "" jacky "" park, research associate for korea studies at the council on foreign relations. & # 160 ; a version of this post is more on : north korea ’ s intense series of ballistic missile tests since last year has brought kim jong - un ever closer to mastering t"
51,4096,0,1,0,False Positive,0.27056974,0.72943026,0.899208,0.10079195,christine cumming of the new york fed joins andres rozental from the mexican council on foreign relations to discuss current economic trends and the role of the fed in the financial regulatory system. cumming expresses her concern that the financial system is failing in its mission to efficiently al
53,4096,0,1,0,False Positive,0.3663957,0.6336042,0.77393603,0.22606398,"the concept of “ american exceptionalism ” has been applied mainly to the political differences that separate the united states from the “ old world ” : the striking absence of any serious american socialist movement ; the spirit of manifest destiny informing its foreign policy, and so on. but ameri"
55,1811,0,1,0,False Positive,0.45856318,0.54143685,0.9919537,0.0080463,"japan ’ s worsening crisis at the fukushima nuclear plant following the march 11 earthquake and tsunami has reignited the debate about the safety of nuclear power. what has occurred at the fukushima nuclear plant, and what has been done? could you describe any missteps in addressing the crisis as it"
74,3027,0,1,0,False Positive,0.25743905,0.742561,0.9239009,0.07609906,"more on : after this week ’ s shangri - la dialogue in singapore, which featured the u. s. - china war of words that has come to characterize the security meeting, secretary of defense ashton carter traveled on to vietnam to meet with hanoi ’ s defense minister. carter visited vietnam ’ s naval comm"
75,3925,0,1,0,False Positive,0.36250678,0.63749313,0.5290036,0.4709964,"more on : since 2000, the percent of state budgets devoted to higher education has fallen from 13 percent to 9. 5 percent. this decline in funding has strained public university finances, reduced pay for many professors, and driven up tuition for students. in a new more on : more on : this is a gues"
81,3065,0,1,0,False Positive,0.34315744,0.6568426,0.887516,0.112483986,"more on : over the weekend, thailand ’ s junta leader, prayuth chan - ocha, announced a firmer roadmap toward civilian rule than the army had previously revealed. prayuth went on thai television and announced that a drafting committee will write a new permanent constitution, to replace the 2007 vers"
90,1877,0,1,0,False Positive,0.476594,0.52340597,0.9203598,0.07964019,"in a day of stunning developments that revived the ruling effectively shaved last night, a leon county judge ruled that the recounts would begin as early as 8 a. m. today and must be finished by 2 p. m. tomorrow for certification by the florida secretary of state. meanwhile, the florida legislature "
94,1376,0,1,0,False Positive,0.2510412,0.74895877,0.9449877,0.055012267,"more on : in conflict zones, some families view child marriage as a way to preserve their daughter ’ s honor and protect her from the sexual assault and gender - based violence that commonly occurs in warzones and refugee camps. in reality, however, child marriage only further threatens girls in uns"
97,1538,0,1,0,False Positive,0.046116002,0.95388395,0.9962107,0.0037893185,"more on : the credit risk of oil exporting countries such as venezuela and russia tends to move with the price of oil. as a country ’ s oil export revenue improves, so does its ability to pay its debts. recently, however, venezuela ’ s cds spreads have increased even while the price of oil has been "
